"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"TLR3",-1.42209503072626,10.4582583505587,-13.8740847257842,2.29279714386807e-35,2.03518460125182e-34,69.2425225186533
"TNFAIP3",1.07513039385475,12.8165364734637,13.2902109083934,4.46909076366712e-33,3.57487287115161e-32,63.9926431686268
"TNFRSF12A",2.33086076815643,12.8657647946927,17.5531094808884,2.75586261851966e-50,4.68209536057926e-49,103.486385189521
"TP63",1.5663196452514,14.9385946997207,13.8098524147181,4.10913036842481e-35,3.60981855450129e-34,68.6614945749243
"TPD52L1",-1.2236496424581,13.8315814804469,-12.7084692579861,7.9211670161351e-31,5.67392844415669e-30,58.8396351812249
"ZNF385B",-1.05209875586592,6.66451863519553,-6.38934193287931,5.15132497502724e-10,1.28556716203903e-09,11.3938475925148
"CHMP2B",-1.0012952150838,12.926016372905,-19.7018182163857,3.66911407197121e-59,9.58040500602584e-58,123.87495674319
"GSDMC",-1.07451013910615,11.3595030215084,-5.53182770174012,6.10287757263014e-08,1.33524242524847e-07,6.73626891073196
"IL18",-2.6416771452514,13.8221923044693,-23.3570859897334,3.97411592364991e-74,2.19529273138106e-72,158.26336729608
"NLRP2",-1.54270392234637,9.03564998072626,-6.14655489328394,2.10007592860545e-09,5.03646528010689e-09,10.0196936294058
"NLRP7",1.53161222625698,6.6705765952514,11.5325846691137,2.10580233395344e-26,1.21970144252239e-25,48.7078566878353
"AIM2",1.72532094134078,11.2099621131285,10.7687224234413,1.24367662184638e-23,6.35554287381269e-23,42.3690170537333
"MT1G",-1.81500700335195,13.1224410201117,-11.3253510859267,1.21343345498925e-25,6.79507538382524e-25,46.9675015852919
"PEBP1",-1.11360155307263,14.4150702960894,-21.4636292065467,2.04721648257604e-66,7.7413348852759e-65,140.54139961727
"PGD",-1.41518819553072,14.8447062067039,-15.3554238762887,2.70904714521537e-41,3.0686521367525e-40,82.8407928427819
"PRNP",1.25229795251396,13.5429138002793,19.5830398227503,1.1353607391444e-58,2.9093212292746e-57,122.747859542498
"SLC39A14",1.70322749581006,10.9328445903631,15.83179897861,3.15380277922182e-43,3.90373124630875e-42,87.2795796663279
"SLC3A2",1.23287482681564,13.3332472011173,21.1648535847665,3.44472471167865e-65,1.23968503406608e-63,137.724211746687
"SLC7A11",1.82050597988827,10.9870825150838,11.1405603074062,5.71312136489481e-25,3.0955737271284e-24,45.4282851687367
"TF",-2.14272784622905,10.6970303368017,-18.7657328323906,2.70841935022314e-55,5.80153155665761e-54,114.988350355609
"TFRC",1.80608844972067,12.2962393812849,22.3344237578904,5.63576940418602e-70,2.51374991429604e-68,148.722618513568
"FTL",1.55903760055866,15.2535447011173,22.1779854713033,2.44899189046001e-69,1.05294877290307e-67,147.256419486442
"FYCO1",-1.3464317150838,11.530423273743,-16.9163932979381,1.1511600936617e-47,1.74933300214386e-46,97.4677328503697
"HSP90AA1",1.32644587779329,14.7753655471369,26.3804702530101,3.65684150053947e-86,3.65398140104184e-84,185.922071099846
"HSPB8",-1.45288325055866,10.7036853328212,-25.4223369934123,2.16095784080256e-82,1.76488091052943e-80,177.25549915754
"LAMP3",1.4536813547486,11.1698214315642,11.0599845785018,1.11848877240402e-24,5.96460649469836e-24,44.7609796860197
"LEP",-2.61302877765363,8.71107009329609,-17.234250351912,5.67343144622783e-49,9.05218508895905e-48,100.469697440177
"MAPK3",-1.36476675558659,11.7324405705307,-27.0308802608761,1.06557918118656e-88,1.25387823912518e-86,191.748124700015
"MET",1.89413551117318,12.8156630321229,22.902637242318,2.75341029049967e-72,1.35668034313711e-70,154.033527867895
"PLK3",-1.23684182960894,10.1397957874302,-10.722760635016,1.81352646523185e-23,9.16809902689002e-23,41.9945237227707
"PRKAA2",-2.74115595251397,8.02377034944134,-18.4577034121717,5.0789616845903e-54,1.03347336394291e-52,112.063954728811
"QSOX1",-1.2301635301676,12.4819090371508,-19.8866730594427,6.32903400372515e-60,1.73090370322061e-58,125.628507729596
"RRAGD",-2.28780986592179,12.1839708854749,-23.3291119872441,5.15623236935934e-74,2.80317240602921e-72,158.003477202329
"SESN2",-1.40685472849162,10.8827611553073,-16.7437479926489,5.89001818005268e-47,8.6635579908242e-46,95.8397972983781
"SH3BP4",1.04240524506518,10.0927220219739,14.1079425898512,2.72253591391479e-36,2.49719371057846e-35,71.3647099342526
"SVIP",-1.19978962709497,9.62075033449721,-19.2412104106352,2.93414735588266e-57,7.00669687681137e-56,119.503074540793
"SYNPO2",-2.46207258156424,9.91993109636872,-19.2816216664036,1.99747084996336e-57,4.80844732468973e-56,119.886742028582
"TP53INP2",-1.9796430377095,12.3395206361732,-21.8518700967434,5.26396502504832e-68,2.1544914974374e-66,144.194771038336
"TPCN1",-1.17098504050279,11.609772152933,-22.5291317655069,9.07546451698578e-71,4.2052787137515e-69,150.545132374491
"TREM2",3.01245117150838,9.80931229189944,23.3024545669855,6.60888100428696e-74,3.58201350432353e-72,157.755758716579
"TRIM13",-1.00063167039106,11.4599773240223,-15.774313688704,5.40484262591058e-43,6.64405602797502e-42,86.7425860036686
"TRIM6",-1.02712092988827,9.27190567946927,-10.9166414407501,3.67410298138222e-24,1.9181262675132e-23,43.5797811496547
"TRIML2",1.44007148268156,4.66174745642458,9.04784161872685,9.23833451129539e-18,3.52994768359388e-17,28.9671670113376
"UCHL1",2.24770820055866,10.8387837678771,14.449116356268,1.1948582304474e-37,1.15457775849715e-36,74.4787374159115
"VPS13D",-1.28826943854748,10.5594142108939,-15.3794422298567,2.16559694425797e-41,2.46242002193249e-40,83.0639499104492
"ACSL6",-1.35301918826816,5.8226837349162,-8.29085907227856,2.25767991041614e-15,7.61041516730176e-15,23.5311716510221
"AKR1C1",1.18381785027933,10.2595833513966,6.20768860678934,1.47995732179166e-09,3.58484786803436e-09,10.3616700865546
"ALOX12",-2.27623255791434,11.6168913182495,-20.6718653292635,3.66641945690905e-63,1.17945284903373e-61,133.066328789928
"CRYAB",-1.97980514106146,13.9207651808659,-19.0451318619996,1.89612378472978e-56,4.33129885232143e-55,117.641338623956
"FADS2",1.23813990782123,11.2779374832402,17.2415964321297,5.29182220178608e-49,8.4508510626023e-48,100.53914280181
"EIF2AK2",1.23887496229051,12.5418891780726,27.8190453763614,9.61506689479581e-92,1.42128170644891e-89,198.743626433136
"GLA",1.04620583240223,11.8545137821229,10.9871848177364,2.0481551089222e-24,1.08126630100893e-23,44.160126119858
"HYAL1",-2.14982253910615,11.8091649371508,-19.5617049311384,1.3907917760111e-58,3.55875560883182e-57,122.545385627967
"IL13RA2",1.32293727709497,6.95299155642458,7.2518034692627,2.53284684153831e-12,7.24955970679378e-12,16.6092772347448
"KIT",-1.577590516946,10.077563955121,-11.1791158219678,4.13916812096503e-25,2.25367309015466e-24,45.7484258382532
"LAPTM4B",1.88007548547486,12.5493776748603,25.4827892508429,1.24578612270359e-82,1.03158011993873e-80,177.805172631528
"PLA2G3",-1.06086645418995,7.86286607793296,-5.78686898544172,1.55941930494455e-08,3.53821815149541e-08,8.06375736049631
